program_idx,method,items_covered,coverage
0,regex_only,228,0.4851
0,regex_nlp,283,0.6021
0,regex_nlp_ontology,318,0.6766
0,full,318,0.6766
1,regex_only,207,0.4404
1,regex_nlp,207,0.4404
1,regex_nlp_ontology,288,0.6128
1,full,319,0.6787
2,regex_only,150,0.3191
2,regex_nlp,216,0.4596
2,regex_nlp_ontology,309,0.6574
2,full,309,0.6574
3,regex_only,189,0.4021
3,regex_nlp,189,0.4021
3,regex_nlp_ontology,277,0.5894
3,full,309,0.6574
4,regex_only,176,0.3745
4,regex_nlp,185,0.3936
4,regex_nlp_ontology,279,0.5936
4,full,292,0.6213
5,regex_only,180,0.383
5,regex_nlp,180,0.383
5,regex_nlp_ontology,276,0.5872
5,full,299,0.6362
6,regex_only,107,0.2277
6,regex_nlp,107,0.2277
6,regex_nlp_ontology,169,0.3596
6,full,237,0.5043
7,regex_only,250,0.5319
7,regex_nlp,262,0.5574
7,regex_nlp_ontology,342,0.7277
7,full,342,0.7277
8,regex_only,103,0.2191
8,regex_nlp,103,0.2191
8,regex_nlp_ontology,213,0.4532
8,full,218,0.4638
9,regex_only,267,0.5681
9,regex_nlp,313,0.666
9,regex_nlp_ontology,344,0.7319
9,full,344,0.7319
10,regex_only,249,0.5298
10,regex_nlp,309,0.6574
10,regex_nlp_ontology,332,0.7064
10,full,332,0.7064
11,regex_only,224,0.4766
11,regex_nlp,245,0.5213
11,regex_nlp_ontology,313,0.666
11,full,313,0.666
12,regex_only,161,0.3426
12,regex_nlp,161,0.3426
12,regex_nlp_ontology,297,0.6319
12,full,309,0.6574
13,regex_only,101,0.2149
13,regex_nlp,101,0.2149
13,regex_nlp_ontology,106,0.2255
13,full,228,0.4851
14,regex_only,242,0.5149
14,regex_nlp,267,0.5681
14,regex_nlp_ontology,334,0.7106
14,full,338,0.7191
15,regex_only,215,0.4574
15,regex_nlp,215,0.4574
15,regex_nlp_ontology,311,0.6617
15,full,311,0.6617
16,regex_only,89,0.1894
16,regex_nlp,89,0.1894
16,regex_nlp_ontology,201,0.4277
16,full,233,0.4957
17,regex_only,98,0.2085
17,regex_nlp,98,0.2085
17,regex_nlp_ontology,243,0.517
17,full,288,0.6128
18,regex_only,110,0.234
18,regex_nlp,110,0.234
18,regex_nlp_ontology,211,0.4489
18,full,247,0.5255
19,regex_only,106,0.2255
19,regex_nlp,106,0.2255
19,regex_nlp_ontology,247,0.5255
19,full,288,0.6128
20,regex_only,227,0.483
20,regex_nlp,253,0.5383
20,regex_nlp_ontology,318,0.6766
20,full,326,0.6936
21,regex_only,181,0.3851
21,regex_nlp,188,0.4
21,regex_nlp_ontology,315,0.6702
21,full,335,0.7128
22,regex_only,243,0.517
22,regex_nlp,271,0.5766
22,regex_nlp_ontology,321,0.683
22,full,328,0.6979
23,regex_only,160,0.3404
23,regex_nlp,160,0.3404
23,regex_nlp_ontology,188,0.4
23,full,287,0.6106
24,regex_only,198,0.4213
24,regex_nlp,198,0.4213
24,regex_nlp_ontology,274,0.583
24,full,304,0.6468
25,regex_only,234,0.4979
25,regex_nlp,234,0.4979
25,regex_nlp_ontology,313,0.666
25,full,334,0.7106
26,regex_only,140,0.2979
26,regex_nlp,140,0.2979
26,regex_nlp_ontology,234,0.4979
26,full,243,0.517
27,regex_only,194,0.4128
27,regex_nlp,248,0.5277
27,regex_nlp_ontology,293,0.6234
27,full,304,0.6468
28,regex_only,225,0.4787
28,regex_nlp,237,0.5043
28,regex_nlp_ontology,316,0.6723
28,full,325,0.6915
29,regex_only,43,0.0915
29,regex_nlp,43,0.0915
29,regex_nlp_ontology,181,0.3851
29,full,181,0.3851
30,regex_only,209,0.4447
30,regex_nlp,209,0.4447
30,regex_nlp_ontology,310,0.6596
30,full,319,0.6787
31,regex_only,179,0.3809
31,regex_nlp,211,0.4489
31,regex_nlp_ontology,273,0.5809
31,full,291,0.6191
32,regex_only,110,0.234
32,regex_nlp,110,0.234
32,regex_nlp_ontology,212,0.4511
32,full,252,0.5362
33,regex_only,239,0.5085
33,regex_nlp,256,0.5447
33,regex_nlp_ontology,317,0.6745
33,full,325,0.6915
34,regex_only,216,0.4596
34,regex_nlp,222,0.4723
34,regex_nlp_ontology,307,0.6532
34,full,324,0.6894
35,regex_only,105,0.2234
35,regex_nlp,105,0.2234
35,regex_nlp_ontology,216,0.4596
35,full,250,0.5319
